question,options,answer
"What is the CO2 footprint of beer, 0.5 L tinplate can per kilogram of food product?","['a) 0.9 kg CO2 eq', 'b) 1.0 kg CO2 eq', 'c) 0.3 kg CO2 eq', 'd) 0.4 kg CO2 eq']",b
"What is the CO2 footprint of milk substitute, oat drink per kilogram of food product?","['a) 0.3 kg CO2 eq', 'b) 0.4 kg CO2 eq', 'c) 1.7 kg CO2 eq', 'd) 1.2 kg CO2 eq']",b
Which food product has the lowest land use footprint per kilogram of food product?,"['a) Apple, average', 'b) Beef', 'c) Bread, brown bread', 'd) Butter']",a
"What is the CO2 footprint of apple, from New Zealand per kilogram of food product?","['a) 0.2 kg CO2 eq', 'b) 0.3 kg CO2 eq', 'c) 0.8 kg CO2 eq', 'd) 0.4 kg CO2 eq']",c
"What is the CO2 footprint of milk substitute, soya drink per kilogram of food product?","['a) 0.3 kg CO2 eq', 'b) 0.4 kg CO2 eq', 'c) 1.7 kg CO2 eq', 'd) 1.2 kg CO2 eq']",b
Which food product has the highest CO2 footprint per serving?,"['a) Beef patty with rice and fresh peas', 'b) Chicken breast fillet instead of beef patty', 'c) Veggie patty based on soya instead of beef patty', 'd) Apple, average']",a
"What is the CO2 footprint of apple (organic), average per kilogram of food product?","['a) 0.2 kg CO2 eq', 'b) 0.3 kg CO2 eq', 'c) 0.8 kg CO2 eq', 'd) 0.4 kg CO2 eq']",b
"What is the CO2 footprint of apple, regional in autumn per kilogram of food product?","['a) 0.2 kg CO2 eq', 'b) 0.3 kg CO2 eq', 'c) 0.8 kg CO2 eq', 'd) 0.4 kg CO2 eq']",a
Which food product has the lowest CO2 footprint per serving?,"['a) Beef patty with rice and fresh peas', 'b) Chicken breast fillet instead of beef patty', 'c) Veggie patty based on soya instead of beef patty', 'd) Apple, average']",d
"What is the CO2 footprint of milk substitute, spelt drink per kilogram of food product?","['a) 0.3 kg CO2 eq', 'b) 0.4 kg CO2 eq', 'c) 1.7 kg CO2 eq', 'd) 1.2 kg CO2 eq']",b
What is the CO2 footprint of an average apple?,"['a) 0.2 kg CO2 eq / kg food', 'b) 0.3 kg CO2 eq / kg food', 'c) 0.8 kg CO2 eq / kg food', 'd) 0.4 kg CO2 eq / kg food']",b
Which food product has the highest CO2 footprint?,"['a) Beef patty with rice and fresh peas', 'b) Olive oil in a disposable glass bottle', 'c) Pineapple, by air', 'd) Milk (organic), ESL, whole milk, composite carton']",c
What is the CO2 footprint of peanut butter?,"['a) 1.6 kg CO2 eq / kg food', 'b) 2.0 kg CO2 eq / kg food', 'c) 0.7 kg CO2 eq / kg food', 'd) 0.5 kg CO2 eq / kg food']",a
Which food product has the lowest CO2 footprint?,"['a) Orange', 'b) Pasta', 'c) Radish', 'd) Red cabbage, fresh']",c
What is the CO2 footprint of beef (organic)?,"['a) 13.6 kg CO2 eq / kg food', 'b) 21.7 kg CO2 eq / kg food', 'c) 9.0 kg CO2 eq / kg food', 'd) 9.2 kg CO2 eq / kg food']",a
Which food product has the highest phosphate rock footprint?,"['a) Olive oil, disposable glass bottle', 'b) Orange', 'c) Pasta', 'd) Potatoes, fresh']",a
What is the CO2 footprint of beer in a 0.5 L tinplate can?,"['a) 0.9 kg CO2 eq / kg food', 'b) 1.0 kg CO2 eq / kg food', 'c) 0.6 kg CO2 eq / kg food', 'd) 0.5 kg CO2 eq / kg food']",b
"What is the CO2 footprint of sausage slices, beef, cold cuts?","['a) 7.9 kg CO2 eq / kg food', 'b) 5.2 kg CO2 eq / kg food', 'c) 4.6 kg CO2 eq / kg food', 'd) 4.6 kg CO2 eq / kg food']",b
Which food product has the lowest CO2 footprint?,"['a) Milk substitute, almond drink', 'b) Milk substitute, oat drink', 'c) Milk substitute, soya drink', 'd) Milk substitute, spelt drink']",a
"What is the CO2 footprint of cheese substitute, vegan, based on coconut oil?","['a) 9.0 kg CO2 eq / kg food', 'b) 11.5 kg CO2 eq / kg food', 'c) 7.2 kg CO2 eq / kg food', 'd) 2.0 kg CO2 eq / kg food']",c
Which food product has the highest CO2 footprint?,"['a) Pineapple, by air', 'b) Pineapple, by ship', 'c) Pineapple, in can', 'd) Pineapple, fresh, according to real transport average']",a
"What is the CO2 footprint of lentils, in can?","['a) 0.1 kg CO2 eq / kg food', 'b) 0.2 kg CO2 eq / kg food', 'c) 0.3 kg CO2 eq / kg food', 'd) 0.4 kg CO2 eq / kg food']",c
Which food product has the lowest CO2 footprint?,"['a) Bread (organic), brown bread', 'b) Bread bun, white bread', 'c) Bread, brown bread', 'd) Bulgur']",d
"What is the CO2 footprint of chocolate, milk chocolate, bar, 35% cocoa content?","['a) 0.6 kg CO2 eq / kg food', 'b) 0.7 kg CO2 eq / kg food', 'c) 4.1 kg CO2 eq / kg food', 'd) 0.5 kg CO2 eq / kg food']",c
Which food product has the highest CO2 footprint?,"['a) Beef patty, frozen', 'b) Minced beef', 'c) Pork (organic)', 'd) Prawns, frozen']",d
"What is the CO2 footprint of milk (organic), ESL, whole milk, composite carton?","['a) 3.2 kg CO2 eq / kg food', 'b) 2.9 kg CO2 eq / kg food', 'c) 1.6 kg CO2 eq / kg food', 'd) 2.0 kg CO2 eq / kg food']",c
Which food product has the lowest CO2 footprint?,"['a) Fries, frozen', 'b) Kohlrabi (cabbage turnip)', 'c) Leek', 'd) Lentils (organic), dried']",d
"What is the CO2 footprint of mushrooms, in can?","['a) 0.2 kg CO2 eq / kg food', 'b) 0.3 kg CO2 eq / kg food', 'c) 0.4 kg CO2 eq / kg food', 'd) 0.6 kg CO2 eq / kg food']",c
Which food product has the highest CO2 footprint?,"['a) Olive oil, glass disposable bottle', 'b) Pasta', 'c) Pastry products', 'd) Peanut butter']",a
